processo,data_hora,duracao_segundos
System Idle Process,2025-10-26 19:41:15,1761518475.08
System,2025-10-26 19:41:15,1761518475.08
,2025-10-26 19:41:15,1715741.55
Registry,2025-10-26 19:41:15,1715741.54
smss.exe,2025-10-26 19:41:15,1715739.2
PresentMonService.exe,2025-10-26 19:41:15,561841.22
services.exe,2025-10-26 19:41:15,1715731.12
winlogon.exe,2025-10-26 19:41:15,1715731.12
csrss.exe,2025-10-26 19:41:15,1715731.36
wininit.exe,2025-10-26 19:41:15,1715731.17
csrss.exe,2025-10-26 19:41:15,1715731.17
LsaIso.exe,2025-10-26 19:41:15,1715731.12
lsass.exe,2025-10-26 19:41:15,1715731.12
Code.exe,2025-10-26 19:41:15,32813.73
svchost.exe,2025-10-26 19:41:15,1715731.0
fontdrvhost.exe,2025-10-26 19:41:15,1715730.99
fontdrvhost.exe,2025-10-26 19:41:15,1715731.0
conhost.exe,2025-10-26 19:41:15,200315.99
wslservice.exe,2025-10-26 19:41:15,1715370.05
WUDFHost.exe,2025-10-26 19:41:15,1715730.99
svchost.exe,2025-10-26 19:41:15,1715730.77
svchost.exe,2025-10-26 19:41:15,1715730.99
svchost.exe,2025-10-26 19:41:15,1715730.97
svchost.exe,2025-10-26 19:41:15,1715730.9
svchost.exe,2025-10-26 19:41:15,1715730.91
svchost.exe,2025-10-26 19:41:15,1715730.91
svchost.exe,2025-10-26 19:41:15,1715730.93
svchost.exe,2025-10-26 19:41:15,1715730.95
svchost.exe,2025-10-26 19:41:15,1715730.94
svchost.exe,2025-10-26 19:41:15,1715730.94
svchost.exe,2025-10-26 19:41:15,1715730.95
svchost.exe,2025-10-26 19:41:15,369.99
msedgewebview2.exe,2025-10-26 19:41:15,1715639.27
svchost.exe,2025-10-26 19:41:15,1715730.96
svchost.exe,2025-10-26 19:41:15,1715730.96
svchost.exe,2025-10-26 19:41:15,1715730.97
dllhost.exe,2025-10-26 19:41:15,1713062.07
svchost.exe,2025-10-26 19:41:15,1715730.94
svchost.exe,2025-10-26 19:41:15,1715730.95
svchost.exe,2025-10-26 19:41:15,1715730.92
svchost.exe,2025-10-26 19:41:15,1715730.92
svchost.exe,2025-10-26 19:41:15,1715730.91
svchost.exe,2025-10-26 19:41:15,1715730.92
svchost.exe,2025-10-26 19:41:15,1715730.9
dwm.exe,2025-10-26 19:41:15,1715730.9
svchost.exe,2025-10-26 19:41:15,1715730.91
svchost.exe,2025-10-26 19:41:15,1715730.9
svchost.exe,2025-10-26 19:41:15,1715629.41
wsl.exe,2025-10-26 19:41:15,1715366.31
conhost.exe,2025-10-26 19:41:15,1715365.78
svchost.exe,2025-10-26 19:41:15,1715730.89
svchost.exe,2025-10-26 19:41:15,1715730.89
svchost.exe,2025-10-26 19:41:15,1715730.89
WUDFHost.exe,2025-10-26 19:41:15,1715730.88
